id,collected_date,source_name,category,current_label,current_score,confidence_bucket,has_body,label_source,review_status,reviewed_label,review_notes,title,summary,body_snippet,link
96374,2026-05-14,DER SPIEGEL,world_geopolitics,negative,0.86591,high,true,,pending,,,marco rubio: us-außenminister posiert im durch maduro bekannten trainingsanzug,"ist das ein zeichen politischer stärke oder nur noch trollerei? online geht ein foto des us-außenministers viral. er trägt darauf einen trainingsanzug, der durch eine us-entführungsaktion weltbekannt wurde.","marco rubio im nike-trainingsanzug: das foto entstand an bord der air force one white house / x / anadolu agency / imago das presseteam von us-präsident donald trump hat ein foto von außenminister marco rubio in einem grauen nike-trainingsanzug veröffentlicht – wohl wissend, dass dieses bild online eine menge aufsehen erregen dürfte. das foto ist nämlich als nadelstich gegen den früheren venezolanischen präsidenten nicolás maduro zu verstehen, den die usa im januar gestürzt hatten. »minister rubio rockt den nike-trainingsanzug ›venezuela‹ in der air force one«, schrieb der kommunikationschef des weißen hauses  , steven cheung, zu dem bild. die gleiche sportkleidung hatte maduro getragen, nachdem er im januar von us-streitkräften in caracas verhaftet und in die usa überführt worden war, wo ihm die behörden drogenhandel und terrorismus vorwerfen. ( hier finden sie ein aktuelles interview m",https://www.spiegel.de/ausland/marco-rubio-us-aussenminister-posiert-im-durch-maduro-bekannten-trainingsanzug-a-c3e2ae2d-5141-4be5-aa24-10dd4385d927
96389,2026-05-14,DER SPIEGEL,unknown,negative,0.905394,high,false,,pending,,,ukraine-krieg: russland mit längstem luftangriff seit kriegsbeginn,"allein am mittwoch soll russland 800 drohnen auf die ukraine gefeuert haben, es gab offenbar mehrere todesopfer. auch am frühen donnerstag dauern die attacken auf kyjiw und weitere städte an.",,https://www.spiegel.de/ausland/russland-ueberzieht-ukraine-mit-einem-der-laengsten-luftangriffe-seit-kriegsbeginn-a-6a2a0b99-ab57-4d49-8475-637504a8fcb3
96454,2026-05-14,DER SPIEGEL,unknown,negative,0.991047,high,false,,pending,,,porsche se schreibt wegen volkswagen erneut hohen verlust,"volkswagen steckt in einer tiefen krise, die eigentümerholding porsche se muss deshalb milliarden abschreiben. das sorgt dort im ersten quartal für einen verlust von 923 millionen euro.",,https://www.spiegel.de/wirtschaft/unternehmen/porsche-se-schreibt-wegen-vw-erneut-hohen-verlust-a-a9ca67bb-f830-451b-a459-5e1a66626cda
96375,2026-05-14,DER SPIEGEL,other,negative,0.395974,low,true,,pending,,,k.-o.-tropfen: bundesregierung beschließt strafverschärfung bei vergewaltigung,"der heimliche einsatz von betäubungsmitteln soll künftig auf einer stufe mit waffengewalt stehen. die regierung wolle eine harte antwort geben, sagt die justizministerin, auf »sexuelle gewalt in einer besonders schlimmen form«.","getränke in einem nachtclub: bei einer bka-dunkelfeld-studie gaben fünf prozent der befragten an, schon einmal opfer von k.-o.-tropfen geworden zu sein wer unter einsatz sogenannter k.-o.-tropfen eine vergewaltigung oder einen raub begeht, soll künftig mit mindestens fünf jahren haft bestraft werden. das sieht ein gesetzentwurf vor, den das bundeskabinett am mittwoch auf vorschlag von justizministerin stefanie hubig (spd) beschloss. mit der strafverschärfung soll demnach der besonderen gefährlichkeit rechnung getragen werden, die von den substanzen ausgeht. noch weitergehende schritte forderte derweil der deutsche richterbund. »vergewaltigungen unter einsatz von k.-o.-tropfen sind besonders hinterhältig und gefährlich«, erklärte ministerin hubig. »die täter mischen ihren opfern heimlich substanzen unter, um sie gezielt wehrlos zu machen. tatorte sind bars und clubs – aber auch das eigene",https://www.spiegel.de/panorama/k-o-tropfen-bundesregierung-beschliesst-strafverschaerfung-bei-vergewaltigung-a-2b7ab090-e5b7-4f18-a6cd-39055177e55e
96417,2026-05-14,DER SPIEGEL,unknown,negative,0.360336,low,false,,pending,,,bundesregierung einigt sich auf kürzungen bei integrationskursen,"die bundesregierung hat sich auf einen kompromiss im hinblick auf die integrationskurse geeinigt. demnach sollen asylsuchende und geduldete ausgeschlossen bleiben, während ukrainer und eu-bürger bevorzugt zugang erhalten.",,https://www.spiegel.de/politik/deutschland/integrationskurse-nach-dem-zulassungstopp-einigen-sich-union-und-spd-auf-kuerzungen-a-9fa4c1f5-4b07-4eac-a2d6-675cc7083d80
96471,2026-05-14,DER SPIEGEL,unknown,negative,0.498885,low,false,,pending,,,hantavirus auf mv »hondius«: wie eine verbreitung des andesvirus nun verhindert werden soll,"die urlauber der mv »hondius« kehren in ihre 23 heimatländer zurück. oberstes ziel ist es nun, weitere ansteckungen zu verhindern. dabei helfen neue informationen über die hantavirusart.",,https://www.spiegel.de/wissenschaft/mensch/hantavirus-auf-mv-hondius-wie-eine-verbreitung-des-andesvirus-nun-verhindert-werden-soll-a-9e2bc92a-fdbe-4e4e-9ea8-53a398b506ce
96394,2026-05-14,DER SPIEGEL,unknown,negative,0.715554,mid,false,,pending,,,australien: pläne für trump tower an der gold coast beerdigt,"die gold coast im australischen queensland ist bekannt für leicht trashigen glitzer. da hätte ein trump tower prima reingepasst, dachte ein baulöwe. die reaktion vor ort war allerdings eindeutig.",,https://www.spiegel.de/ausland/australien-plaene-fuer-trump-tower-in-queensland-sind-vom-tisch-a-2634a5eb-d71d-4415-8259-2cb10cb9c5a3
96461,2026-05-14,DER SPIEGEL,unknown,negative,0.641148,mid,false,,pending,,,hanno berger: zehn jahre haft für cum-ex-steuerbetrüger,das landgericht bonn hat mehrere verurteilungen wegen schwerer steuerhinterziehung zu einer gesamtstrafe zusammengefasst: hanno berger muss für insgesamt zehn jahre ins gefängnis. er gilt als zentraler akteur des cum-ex-skandals.,,https://www.spiegel.de/wirtschaft/zehn-jahre-haft-fuer-cum-ex-steuerbetrueger-hanno-berger-a-7978dfe4-1b40-4b08-b21b-ad889f9169fc
96373,2026-05-14,DER SPIEGEL,politics_governance,neutral,0.519391,low,true,,pending,,,steuern: grünen-haushaltspolitiker fordert höhere steuersätze für vielverdiener,"entlastung für viele, aber wie? während die koalition über eine einkommensteuerreform zankt, wirft grünen-haushaltspolitiker andreas audretsch einen vorschlag mit konkreten zahlen in die debatte.","grünenpolitiker andreas audretsch: haushaltspolitik ist einer seiner schwerpunkte der grünen-haushaltspolitiker andreas audretsch hat einen konkreten vorschlag für eine einkommensteuer reform mit höheren sätzen für vielverdiener und entlastungen für haushalte mit geringem einkommen unterbreitet. der reguläre spitzensteuersatz von derzeit 42 prozent solle ab einem zu versteuernden jahreseinkommen von 120.000 euro auf 45 prozent erhöht werden, schlug der fachlich zuständige vizevorsitzende der bundestagsfraktion in der »rheinischen post«  vor. der satz solle ab 250.000 euro auf 48 prozent steigen. derzeit müssen ledige ab knapp 278.000 euro einen zuschlag auf die einkommensteuer zahlen – diese sogenannte reichensteuer beträgt 45 prozent. zur entlastung schlug audretsch vor, den grundfreibetrag – also jenen teil des einkommens, der steuerfrei bleibt – um 500 euro zu erhöhen. derzeit beträgt",https://www.spiegel.de/politik/deutschland/steuern-gruenen-haushaltspolitiker-fordert-hoehere-steuersaetze-fuer-vielverdiener-a-67d20c3f-93d3-4648-81d4-e1a39dd5e41b
96382,2026-05-14,DER SPIEGEL,unknown,neutral,0.370567,low,false,,pending,,,bundesregierung: cdu-arbeitnehmerflügel und spd-konservative mahnen frieden an,"in einer ungewöhnlichen allianz wenden sich cdu-arbeitnehmerflügel und konservative sozialdemokraten an die koalitionsspitzen: der streit müsse aufhören, die vernünftigen müssten lauter werden.",,https://www.spiegel.de/politik/deutschland/bundesregierung-cdu-arbeitnehmerfluegel-und-spd-konservative-mahnen-frieden-an-a-29db8d75-6b4a-40be-9980-3c1127fe50aa
96378,2026-05-14,DER SPIEGEL,unknown,positive,0.877585,high,false,,pending,,,trump phone: auslieferung des goldenen t1-smartphones soll endlich starten,früh gab es zweifel an der seriosität des geschäfts mit einem trump-gebrandeten smartphone. es folgten monatelange verzögerungen und design-änderungen. doch jetzt soll die auslieferung des geräts beginnen.,,https://www.spiegel.de/netzwelt/gadgets/trump-phone-auslieferung-des-goldenen-t1-smartphones-soll-endlich-starten-a-29a5c8ab-21dd-4fbe-bf2a-38a51564bdaa
96451,2026-05-14,DER SPIEGEL,unknown,positive,0.98627,high,false,,pending,,,"allianz meldet rekordstart ins jahr – 4,5 milliarden euro quartalsgewinn","der größte deutsche versicherungskonzern überrascht mit einem starken ergebnis im ersten quartal. der operative gewinn stieg auf 4,5 milliarden euro – mehr als je zuvor.",,https://www.spiegel.de/wirtschaft/unternehmen/allianz-meldet-rekordstart-ins-jahr-4-5-milliarden-euro-quartalsgewinn-a-f14acce5-8b22-47f6-8189-e4aecb366bf8
96372,2026-05-14,DER SPIEGEL,economy_finance,positive,0.464976,low,true,,pending,,,aufrüstung: knds verhandelt mit mercedes über werk in ludwigsfelde,"knds könnte künftig den radpanzer boxer dort bauen, wo heute sprinter-transporter vom band rollen. nach spiegel-informationen laufen gespräche mit dem autohersteller mercedes. auch eine vw-fabrik soll in der engeren auswahl sein.","mercedes-benz-werk in ludwigsfelde bei nacht dieser artikel gehört zum angebot von spiegel+. sie können ihn auch ohne abonnement lesen, weil er ihnen geschenkt wurde. die deutsche autobranche steckt in der krise, während die rüstungsindustrie boomt. jetzt verdichten sich die anzeichen, dass beide seiten miteinander ins geschäft kommen könnten. so verhandelt der deutsch-französische panzerbauer knds mit mercedes-benz darüber, das werk des stuttgarter autoherstellers in ludwigsfelde südlich von berlin zu übernehmen. der rüstungskonzern, hervorgegangen aus einer fusion zwischen krauss-maffei wegmann und der französischen nexter, will in den kommenden jahren eine milliarde euro in neue kapazitäten investieren, um die nachfrage europäischer armeen nach panzern und militärfahrzeugen bedienen zu können. im vergangenen jahr hatte knds das von der schließung bedrohte alstom-werk in görlitz überno",https://www.spiegel.de/wirtschaft/aufruestung-knds-verhandelt-mit-mercedes-ueber-werk-in-ludwigsfelde-a-28935048-b008-48a3-9edd-79004afb4339
96376,2026-05-14,DER SPIEGEL,world_geopolitics,positive,0.418728,low,true,,pending,,,xi jinping empfängt donald trump in china: xi umgarnt trump – und macht druck bei taiwan,"der himmelspalast, flaggen schwenkende kinder und viel militär: chinas staatschef xi jinping bietet donald trump einen pompösen empfang in peking. verfängt das beim us-präsidenten? der staatsbesuch in der liveanalyse.","sie können den artikel leider nicht mehr aufrufen. der link, der ihnen geschickt wurde, ist entweder älter als 30 tage oder der artikel wurde bereits 10 mal geöffnet. sie haben bereits ein digital-abo? zum login sie haben bereits ein print-abo? hier rabattiert digital-zugang bestellen sie haben bereits ein digital-abo? zum login spiegel+ wird über ihren itunes-account abgewickelt und mit kaufbestätigung bezahlt. 24 stunden vor ablauf verlängert sich das abo automatisch um einen monat zum preis von zurzeit ¤ ein jahr zum preis von zurzeit ¤ . in den einstellungen ihres itunes-accounts können sie das abo jederzeit kündigen. um spiegel+ außerhalb dieser app zu nutzen, müssen sie das abo direkt nach dem kauf mit einem spiegel-id-konto verknüpfen. mit dem kauf akzeptieren sie unsere allgemeinen geschäftsbedingungen und datenschutzerklärung .",https://www.spiegel.de/ausland/donald-trump-besucht-china-usa-hoffen-auf-xi-jinpings-hilfe-in-iran-doch-china-hat-eigene-prioritaetenenen-interessen-a-2db6f226-ddcc-4873-8652-eadd74a7e9b1
96413,2026-05-14,DER SPIEGEL,unknown,positive,0.543899,low,false,,pending,,,mecklenburg-vorpommern: spd verkürzt laut umfrage rückstand auf die afd,"lange schien es, als würde die afd auch in mecklenburg-vorpommern der konkurrenz enteilen. in einer neuen erhebung von infratest kann nun jedoch auch die spd zuwächse verzeichnen. anders ist der trend für cdu und bsw.",,https://www.spiegel.de/politik/deutschland/mecklenburg-vorpommern-spd-verkuerzt-laut-umfrage-rueckstand-auf-die-afd-cdu-hinter-linkspartei-a-07e2156e-9ef0-4337-b7d5-409b43637ad0
96436,2026-05-14,DER SPIEGEL,unknown,positive,0.429037,low,false,,pending,,,donald trump und die 250-jahres-feier: feiern die usa ihren geburtstag ohne europäer?,donald trump hat eine »spektakuläre feier« zum 250. unabhängigkeitstag der usa angekündigt. deutsche spitzenpolitiker sind spiegel-recherchen zufolge bislang nicht eingeladen. wohl aber ein prominenter nachbar.,,https://www.spiegel.de/ausland/donald-trump-und-die-250-jahres-feier-feiern-die-usa-ihren-geburtstag-ohne-europaeer-a-70073462-e4e5-48c2-adb4-feb98c974138
96447,2026-05-14,DER SPIEGEL,unknown,positive,0.586798,mid,false,,pending,,,heizungsgesetz: bundesregierung bringt erneute reform auf den weg,die bundesregierung hat nach monatelangen debatten eine erneute reform des heizungsgesetzes auf den weg gebracht. der einbau neuer gas- und ölheizungen soll laut dem kabinettsbeschluss weiterhin möglich sein.,,https://www.spiegel.de/wirtschaft/service/heizungsgesetz-bundesregierung-bringt-erneute-reform-auf-den-weg-a-94f6213a-4232-4389-a1a1-6c4f8f2de83c
97178,2026-05-14,DER SPIEGEL,unknown,positive,0.673811,mid,false,,pending,,,"fußball-wm 2026: shakira, madonna und bts bei halbzeitshow im finale",erstmals wird es bei der fußball-wm in der halbzeitpause des finals eine show mit musik und tanz geben. topstars wie madonna sollen dabei auch eine gigantische summe für weltweite bildungs- und fußballprojekte einsammeln.,,https://www.spiegel.de/sport/fussball/fussball-wm-2026-shakira-madonna-und-bts-bei-halbzeitshow-im-finale-a-78501268-aeba-417e-9b2a-8e88b032a853
96282,2026-05-14,Deutsche Welle,world_geopolitics,negative,0.837042,high,true,,pending,,,medien: britischer minister plant revolte gegen starmer,"der premier tritt kämpferisch auf. parteigenossen positionieren sich - für und gegen den regierungschef. ein minister führt in 10 downing street gespräche, deren inhalt nicht für die presse bestimmt ist.","in großbritannien droht dem unter druck geratenen premierminister keir starmer nach medienberichten ein parteiinterner coup. gesundheitsminister wes streeting bereite seinen rücktritt vor, um starmer sodann als chef der labour-partei herauszufordern, melden die zeitung ""the times"" und der sender sky news. die spekulationen überschatteten die traditionelle verlesung des regierungsprogramms durch könig charles , die sogenannte king's speech. auch an den finanzmärkten sorgten sie für unruhe: die kurse britischer staatsanleihen gaben deutlich nach, während die staatlichen refinanzierungskosten leicht stiegen. streeting traf sich vor der king's speech mit starmer in dessen amtssitz in 10 downing street, wollte sich danach zu den inhalten jedoch nicht äußern. die begegnung dauerte weniger als 20 minuten. um eine kampagne für den parteivorsitz offiziell zu starten, benötigt er die unterstützung",https://www.dw.com/de/medien-britischer-minister-plant-revolte-gegen-starmer/a-77150051?maca=de-rss-de-all-1119-xml-mrss
