id,collected_date,source_name,category,current_label,current_score,confidence_bucket,has_body,label_source,review_status,reviewed_label,review_notes,title,summary,body_snippet,link
113889,2026-05-19,CNN Türk,unknown,negative,0.994407,high,false,claude-sonnet-4-6,reviewed,negative,"savaş tehdidi, saldırı planı, yeni cepheler uyarısı","son daki̇ka... trump 'saldırı ertelendi' dedi, hamaney'den ise uyarı geldi: yeni cepheler açılır!...","i̇srail'de son 24 saatte ikinci kez toplanan güvenlik kabinesinde i̇ran'a saldırı olasılığı görüşüldü. abd başkanı donald trump, bazı körfez liderlerinin talebi üzerine i̇ran'a planlanan saldırıyı ertelediğini açıkladı. bir diğer açıklamasında ise orta doğu'daki bazı ülkelerin tahran’la sürdürdüğü görüşmelerde anlaşmaya yaklaştıklarını da belirtti. i̇ran lideri mücteba hamaney ise abd’nin ülkesine yönelik yeni savaş tehdidine ilişkin, “savaş durumunun devamı halinde başka cepheler açılacak.” dedi.",,https://www.cnnturk.com/dunya/live-son-dakika-trump-saldiri-ertelendi-dedi-hamaneyden-ise-uyari-geldi-yeni-cepheler-acilir-3423601
114060,2026-05-19,CNN Türk,unknown,neutral,0.802453,high,false,claude-sonnet-4-6,reviewed,neutral,pankreas hakkında olgusal tıbbi bilgi aktarımı,pankreas ağrısı nasıl olur? pankreas ağrısı hangi hastalıkların belirtisi olabilir?,"pankreas, karın boşluğunun üst kısmında, midenin arkasında ve karaciğerin altında bulunan uzun bir bezdir. bu küçük organ hem sindirim sistemine hem de endokrin sisteme aittir.",,https://www.cnnturk.com/saglik/pankreas-agrisi-nasil-olur-pankreas-agrisi-hangi-hastaliklarin-belirtisi-olabilir-1632959
114133,2026-05-19,CNN Türk,unknown,neutral,0.915672,high,false,claude-sonnet-4-6,reviewed,neutral,kelime anlamı açıklayan rutin sözlük içeriği,"mesken ne demek? tdk'ya göre mesken kelime anlamı nedir, nereye denir?",yerleşme ve yerleşilen yer anlamlarına gelen mesken kelimesinin diğer bir anlamı ise yaşanan ev olarak bilinmektedir. mesken kelimesi yaşanılan şehir ve konut anlamlarında kullanılması yaygın bir kelimedir.,,https://www.cnnturk.com/kultur-sanat/mesken-ne-demek-tdkya-gore-mesken-kelime-anlami-nedir-nereye-denir-1631316
114143,2026-05-19,CNN Türk,unknown,neutral,0.950155,high,false,claude-sonnet-4-6,reviewed,neutral,dilbilgisi konusu açıklayan olgusal içerik,"niteleme nedir, tdk sözlük anlamı ne demek? niteleme sıfatı örnekleri...","i̇sim soylu kelimelerin miktarına ya da biçimsel özelliklerine dair bilgiler veren kelimelere sıfat denir. diğer ismi ön ad olan sıfatlar belirtme ve niteleme sıfatı olarak ikiye ayrılır. belirtme sıfatları da soru, (kaç kişi), belgisiz (bazı insanlar), sayı (iki kapı) ve işaret sıfatı (bu yol) olmak üzere dört ana başlıkta toplanır.",,https://www.cnnturk.com/kultur-sanat/niteleme-nedir-tdk-sozluk-anlami-ne-demek-niteleme-sifati-ornekleri-1801117
114108,2026-05-19,CNN Türk,unknown,neutral,0.512362,low,false,claude-sonnet-4-6,reviewed,neutral,fal yorumu hakkında olgusal bilgi aktarımı,"kahve falında araba ne anlama gelir? falda araba şekli görmek ne demek, anlamı nedir?","kahve fallarında genel olarak en çok öne çıkan şekiller içerisinde araba gelir. farklı biçimlerde ve şekillerde öne çıkan arabalar, buna bağlı olarak gelecek üzerine olasılıklar sunar. bu olasılıklar kapsamında pek çok kişi bazı önlemler alma şansı elde eder. aynı zamanda gelecek üzerine fal sahibine nelerin beklediğine yönelik bilgiler alınır.",,https://www.cnnturk.com/yasam/kahve-falinda-araba-ne-anlama-gelir-falda-araba-sekli-gormek-ne-demek-anlami-nedir-1767028
114160,2026-05-19,CNN Türk,unknown,neutral,0.53076,low,false,claude-sonnet-4-6,reviewed,neutral,kelime anlamı açıklayan rutin sözlük içeriği,"mahiyet ne demek, tdk sözlük anlamı nedir? mahiyet cümle i̇çinde kullanımı...","mahiyet kelimesi dilimizde kullanılmakta olan kelimelerden birisidir. mahiyet; nitelik ve içyüz anlamlarına gelmekte olan bir kelime olarak bilinmektedir. mahiyet kelimesinin, genel olarak nitelik manasına gelecek şekilde kullanılan bir kelime olduğu bilinmektedir. kelimenin nitelik ve vasıf anlamlarına geldiğini söylemek de mümkün olmaktadır. arapça kökenli bir sözcük olup, dilimize de geçmiştir.",,https://www.cnnturk.com/kultur-sanat/mahiyet-ne-demek-tdk-sozluk-anlami-nedir-mahiyet-cumle-icinde-kullanimi-1828246
114140,2026-05-19,CNN Türk,unknown,neutral,0.690754,mid,false,claude-sonnet-4-6,reviewed,neutral,yazım kuralı açıklayan olgusal içerik,saygıdeğer nasıl yazılır? saygıdeğer tdk doğru yazılışı... saygıdeğer mi saygı değer mi?,bazı kelimeler türkçe de ayrı bazıları ise kurala uygun şekilde bitişik olarak ele alınır. bu kelimeler içerisinde saygıdeğer sözcüğü gelir ve iki kelimenin birleşmesi ile bitişik olarak değerlendirilir. bu konuda yapılan çok sık yazım hatası ise kelimelerin ayrı biçimde ele alınmasıdır.,,https://www.cnnturk.com/kultur-sanat/saygideger-nasil-yazilir-saygideger-tdk-dogru-yazilisi-saygideger-mi-saygi-deger-mi-1835153
114156,2026-05-19,CNN Türk,unknown,neutral,0.673476,mid,false,claude-sonnet-4-6,reviewed,neutral,yazım kuralı açıklayan olgusal içerik,şu anda nasıl yazılır? şu anda tdk doğru yazılışı... şu anda mı şuanda mı?,dilimizin en yaygın sözcüklerinden biriside şu anda olarak bilinir. tabi bu sözcüğün yazımı son derece merak edilmektedir.,,https://www.cnnturk.com/kultur-sanat/su-anda-nasil-yazilir-su-anda-tdk-dogru-yazilisi-su-anda-mi-suanda-mi-1834454
114149,2026-05-19,CNN Türk,unknown,positive,0.997371,high,false,claude-sonnet-4-6,reviewed,neutral,film listesi sunan olgusal içerik,en i̇yi jackie chan filmleri: en çok i̇zlenen ve beğenilen 20 jackie chan filmi (i̇mdb sırasına göre),her filmin senaryosu o filmi çekici yapabilmek için gerek şarttır. senaryonun yanı sıra bir filmin dünya klasmanında izlenebilmesi için iyi bir de oyuncu kadrosu olması gerekmektedir. uzak doğu filmlerinin unutulmaz başrolü ise jackie chan olarak göze çarpar.,,https://www.cnnturk.com/kultur-sanat/en-iyi-jackie-chan-filmleri-en-cok-izlenen-ve-begenilen-20-jackie-chan-filmi-imdb-sirasina-gore-1611351
113968,2026-05-19,CNN Türk,unknown,positive,0.700876,mid,false,claude-sonnet-4-6,reviewed,negative,"borsa değer kaybetti, düşüş haberi",son daki̇ka haberi̇: borsa günü düşüşle tamamladı,"son dakika haberine göre; borsa i̇stanbul'da bist 100 endeksi, günü yüzde 2,35 değer kaybederek 14.029,54 puandan tamamladı.",,https://www.cnnturk.com/ekonomi/son-dakika-haberi-borsa-gunu-dususle-tamamladi-3423510
