id,source_name,model,claude,claude_note,title,summary
113968,CNN Türk,positive,negative,"borsa değer kaybetti, düşüş haberi",son daki̇ka haberi̇: borsa günü düşüşle tamamladı,"son dakika haberine göre; borsa i̇stanbul'da bist 100 endeksi, günü yüzde 2,35 değer kaybederek 14.029,54 puandan tamamladı."
112719,Habertürk,positive,negative,"ihale operasyonu, tutuklama talebi, suç iddiası",i̇bb'ye ihale operasyonunda 11 şüpheliye tutuklama talebi!,
113362,Hürriyet,positive,negative,"İran'a saldırı planı, savaş tehdidi, gerilim",trump: bugün vuracaktım körfez vazgeçirdi,"abd ve i̇srail’in i̇ran’a yönelik yeni bir saldırı hazırlığında olduğu iddialarının arttığı bir dönemde, abd başkanı trump dün gece yaptığı paylaşımla, i̇ran’a bugün bir saldırı planlandığını ancak bazı bölge ülkelerinin isteği üzerine saldırıyı ertelediğini duyurdu."
116306,Yeni Şafak,positive,negative,"Gazze'ye yardım filosu, ölüm ve saldırı riski vurgusu",filo yoluna devam ediyor,"filonun geri kalan kısmı tam hızla gazze’ye doğru ilerlerken i̇srail saldırılarının detaylarını da aktarmaya devam etti. ‘kasrı sadabad’ gemisinde bulunan hak-i̇ş genel başkanı mahmut arslan, “i̇srail donanmasından bir müdahaleye uğramazsak biraz dışarıdan, açıktan inşallah gazze’ye ulaşmaya çalışacağız. i̇ki buçuk milyon gazzeliyi göz göre göre ölüme mi terk edeceğiz” dedi."
119478,Milliyet,positive,negative,"kayıp köpek, yardım çağrısı, mağduriyet",tan taşçı sevenlerinden yardım istedi! can dostu masum'u arıyor,"haber merkezi̇ - ""yalan"", ""bilir mi?"", ""hafıza"" ve ""paşa paşa"" gibi dillerden düşmeyen pek çok esere imza atan tan taşçı, sosyal medya hesabından yaptığı son paylaşımla yardım çağrısında bulundu.bir süredir yaşamını bodrum'da sürdüren 44 yaşındaki şarkıcı, kaybolan köpeği masum için seferber oldu. manifest konserinde aşk dolu poz! ünlü çiftten romantik paylaşım ünlü şarkıcı, instagram hesabından köpeği masum'un bodrum gümüşlük bölgesinde kaybolduğunu duyurarak takipçilerinden yardım çağrısında bulundu. sevenleri̇nden yardim i̇stedi̇ tan taşçı, patili dostu masum'un fotoğrafının olduğu kayıp ilanında; ''bahçemizin neşe kaynağı, kızım masum… ben i̇stanbul’da provalardayken bahçeden kaçıp gümüşlük’te kaybolmuş. gören, duyan ya da denk gelen biri olursa lütfen bize haber versin. şimdiden ilgilenen herkese çok teşekkür ederim'' ifadelerini kullandı. cannes'a damga vurdu! demet özdemir'in pozlarına beğeni yağmuru"
130315,Milliyet,positive,negative,"karakter ölüm tehlikesiyle karşı karşıya, gerilim ve çatışma",ali ölümün kıyısında,"20 yıldır izleyicisiyle buluşan dizinin yeni bölüm tanıtımı gerilimi zirveye taşıdı. eski bir mossad ajanının i̇stanbul’a gelişiyle yaşanacak olaylar, ali’yi (alp korkmaz) ölümün kıyısına sürükleyecek. çatışma sahneleriyle heyecanı artıran d media imzalı ‘arka sokaklar’, yeni bölümüyle bu akşam saat 20.00’da kanal d’de..."
129633,Sözcü,positive,negative,"siyasi karar piyasaları sarstı, borsa sert düştü",chp’ye “mutlak butlan” kararı piyasaları sarstı: borsa sert düştü,
135353,Milliyet,negative,positive,"zorluklara rağmen girişimci başarısı, kendi markasını kurdu","çöpte bulduklarıyla ofis kurdu! ailem, 'bizi rezil ediyorsun' dedi","betül topaklı / milliyet.com.tr - melisa karakuzular, 2001 yılında gaziantep’te doğup, büyüdü. annesi ev hanımı, babasının ise düzenli bir işi yoktu. i̇ki kardeşi olan melisa’nın çocukluğu, aile içindeki geçimsizliklerin yoğun olduğu zorlu bir ortamda geçmesinin ardından anne ve babası ayrıldı. melisa, ailedeki huzursuzluklardan dolayı sessiz, kendi dünyasında yaşayan biriydi. kendini farklı hisseder, kalabalık ortamlarda bulunmayı pek sevmezdi. buna rağmen öğrenmeye, araştırmaya ve üretmeye karşı içinde büyük bir merak vardı. melisa’nın maddi zorluklar nedeniyle eğitim hayatı da kolay geçmedi. ancak tüm zorluklara rağmen okumaktan ve kendini geliştirmekten vazgeçmedi. “ hatta bazen kendi ihtiyaçlarımdan kısmak pahasına paramı biriktirip kitap alırdım ” diyen genç kız, “okul benim için sadece bir eğitim yeri değil, aynı zamanda evde yaşadığım sıkıntılardan uzaklaşıp kendimi huzurlu hissettiğim bir alandı. bu yüzden sürekli okuyarak, araştırarak ve öğrenerek kendimi geliştirmeye çalıştım ” diye konuştu. ‘genç yaşta olgunlaştim’ melisa, birçok zorlukla karşılaşmasına rağmen hiçbir zaman pes etmedi. osmaniye korkut ata üniversitesi i̇ç mimarlık bölümü’nden mezun olduktan sonra i̇stanbul teknik üniversitesi’nde yüksek lisans eğitimine başladı. i̇mkânsızlıklara, yalnızlığa ve çoğu zaman destek görememeye rağmen kendi yolunu çizmeye devam etti. yaşadığı bu süreç onu erken yaşta olgunlaştırırken, hayata karşı daha güçlü durmayı öğretti. hayallerinin peşinden vazgeçmeden giden genç kız, başarısını kurduğu markasıyla taçlandırdı. “kendi işimi kurma fikri aslında üniversite yıllarımdan beri aklımdaydı ” diyen melisa o günleri şöyle anlattı: alıntı metni kulislerde ‘mutlak butlan’ senaryoları ‘ai̇lem hi̇çbi̇r zaman bana i̇nanmadi’ kazandığı her kuruşu biriktiren melisa’nın elindeki imkânlar bir iş kurmak için yeterli değildi belki ama içinde tarif edemediği güçlü bir inanç vardı. bu yüzden kimseye söylemeden yola çıktı. çünkü insanların onu durdurmaya çalışacağından emindi. “ ailem hiçbir zaman bana gerçekten inanmadı ” diyen girişimci kız, “ başarılı bir eğitim hayatım olmasına rağmen çoğu zaman yetersiz hissettirildim. oysa ben her zaman üretmeyi seven, çalışmadan duramayan biriydim. sonunda küçük bir ofis tuttum. i̇çerisi tamamen boştu. sıvasını yaptım, duvarlarını tek başıma boyadım, dolaplarını kurdum. hatta çöpten bulduğum eşyaları değerlendirip ofise taşıdığım günler bile oldu. gerçekten çok zor zamanlardı ve bu süreçte yanımda kimse yoktu. ailem durumu öğrendiğinde bile destek olmak yerine “neden yaptın?” ve “neye güvendin?” gibi sözlerle üzerimde daha büyük bir baskı oluşturdular. psikolojik olarak çok yıprandığım dönemler oldu ama yine de vazgeçmedim. çünkü bu benim hayalimdi ” diye konuştu. ‘hayaldi̇, gerçek oldu’ kendi işini kurmak için tüm gücünü kullanan genç kız, bazen günlerce uyumadan çalışıyor, aynaya baktığında kendini tanıyamadığı zamanlar oluyordu. “midem bulanacak kadar yorulduğum anlar yaşadım ama ofisin ayakta kalması gerekiyordu” diyen melisa, “ bu yüzden aynı anda ek işler de yapıyor, online e-ticaret danışmanlıkları veriyordum. bir yandan okul, diğer yandan iş derken çok yoğun ve yorucu bir tempoda yaşıyordum. bu süreci sosyal medyada paylaşmamın sebebi ise insanlara umut olmak istememdi. genç bir kızın, hiçbir destek almadan da kendi hayallerini gerçekleştirebileceğini göstermek istedim ve sonunda başardım. flow home tam hayal ettiğim gibi kuruldu. belki her şey mükemmel değildi ama tamamen bana aitti” diyerek tüm zorluklara ve yalnızlığa rağmen markasını kendi emeğimle inşa ettiğini dile getirdi. alıntı metni ‘her ürün özgün bi̇r ki̇mli̇ğe sahi̇p’ ev yaşamı ve dekorasyon odaklı özgün bir dünya oluşturmak için markasına “flow home” ismini verdiğini söyleyen melisa, “ tasarladığım ürünlerin çizimlerini kendim yapıyor, ardından bu tasarımları 3d yazıcılarda üreterek hayata geçiriyorum. dekoratif biblolar, organizerler, çeşitli ev dekorasyon ürünleri tasarlıyor, mum üretimi yapıyor, beton biblolar ve dekoratif ürünler hazırlıyorum. ev tekstili kategorisinde ise premium kalite anlayışıyla üretilen paspaslar, düzenleyiciler ve çeşitli tekstil ürünleri satışa sunuyorum. ayrıca tütsü ve oda kokuları da ürün yelpazemin bir parçasını oluşturuyor. benim için en önemli konu, ortaya çıkan her ürünün özgün bir kimliğe sahip olması. bu nedenle yalnızca üretim süreciyle değil; ürünlerin kapak tasarımları, etiketleri ve markanın tüm görsel kimliğiyle de birebir kendim ilgileniyorum” dedi. ‘kendi̇mle gurur duyuyorum’ yaşadığı zorluklara rağmen kendi markasını kurmayı başaran melisa, “ bugün geriye dönüp baktığımda, kendimle gurur duyuyorum. çünkü o dönem bana pes etmeyip, mücadele etmeyi ve kendi ayaklarım üzerinde durmayı öğretti. eğer aynı şartlarda yeniden başlamak zorunda kalsam, yine aynı mücadeleyi verirdim. çünkü beni güçlü yapan şey, tam da o zor günlerden geçerek ayakta kalabilmiş olmamdır. bu süreçte beni destekleyen ve emeğimi gören insanların varlığı bana motivasyon veriyor. zamanla flow home’un çok daha fazla insana ulaşacağına ve bu emeğin karşılığını alacağıma inanıyorum. uzun vadede hedefim, markamı çok daha geniş ürün yelpazesine sahip, güçlü ve özgün bir home & living markasına dönüştürmek” diyerek bu hedef doğrultusunda üretmeye, geliştirmeye ve çalışmaya aralıksız devam ettiğini anlattı. ‘başarimin arkasinda yoğun emek var’ şu an hem yüksek lisans eğitimine devam eden melisa, hem de flow home’u büyütmek için yoğun bir şekilde çalışıyor. bir taraftan yeni ürünler tasarlayarak, üretim kapasitesini geliştirmeye çalışıyor, diğer taraftan markasını daha profesyonel bir seviyeye taşımak için çaba sarf ediyor. “aynı zamanda ‘melisa.rise’ adlı sosyal medya hesabımdan içerikler üreterek sürecimi insanlarla paylaşmaya devam ediyorum” diyen genç kız, “ i̇nsanların yalnızca başarıyı değil, bu başarının arkasındaki emeği ve mücadeleyi de görmesini istiyorum. gelecekte flow home’un yalnızca türkiye’de değil, daha geniş kitlelere ulaşan güçlü bir home & living markası olmasını hedefliyorum. kendi atölyemi büyütmek, üretim alanımı geliştirmek ve özgün tasarımlarımla insanların yaşam alanlarına dokunmak, en büyük hedeflerim arasında yer alıyor ” diye konuştu. ‘başlamak i̇çi̇n mükemmel zamani beklemeyi̇n’ başarının bir anda gerçekleşmediğini; sabır, emek ve güçlü bir dayanıklılık gerektirdiğini aktaran melisa, kendi işini kurmak isteyen genç girişimcilere şu tavsiyelerde bulundu: alıntı metni i̇ki kanattan ilk gün hamleler peş peşe geldi: chp’de mutlak butlan kaosu bilgi için garantör üniversite formülü"
135457,Milliyet,negative,positive,anne mutluluğu ve sevimli paylaşım,i̇şte sarp marco'nun son hali! bestemsu özdemir ve oğlundan yeni kare,"kanal d'nin sevilen yapımlarından 'i̇nci taneleri' dizisinde semiramis karakterini canlandıran oyuncu bestemsu özdemir şu sıralar anne olmanın sevincini yaşıyor. ünlü isim, oğlu sarp marco'nun son halini takipçileriyle paylaştı."
158139,Habertürk,negative,positive,"kriz masası kuruldu, çözüm odaklı önlem alındı",elektrikli araçlar için bayram teyakkuzu,"tatil dönemlerinde karayollarındaki elektrikli araç şarj istasyonlarında yaşanan yoğunluğa ilişkin özel bir çalışma başlatıldı. otospor programında yiğitcan yıldız'a özel açıklamalarda bulunan lumicle genel müdürü tahir karabulut, ilgili kamu kuruluşları ve i̇stanbul-i̇zmir otoyolunda faaliyet gösteren şarj operastörlerinin kriz masası oluşturduğunu bildirdi"
