id,collected_date,source_name,category,current_label,current_score,confidence_bucket,has_body,label_source,review_status,reviewed_label,review_notes,title,summary,body_snippet,link
113902,2026-05-19,CNN Türk,unknown,negative,0.994062,high,false,claude-sonnet-4-6,reviewed,negative,rüşvet ve kara para aklama suçlamasıyla gözaltı,beşiktaş belediyesi'ne yönelik soruşturma: 5 gözaltı,"i̇stanbul cumhuriyet başsavcılığı, beşiktaş belediyesine yönelik yürütülen soruşturma kapsamında 5 şüphelinin ""rüşvet almak"" ve ""mal varlığı değerlerini aklama"" suçlarından gözaltına alındığını bildirdi.",,https://www.cnnturk.com/turkiye/besiktas-belediyesine-yonelik-sorusturma-5-gozalti-3423575
113904,2026-05-19,CNN Türk,unknown,negative,0.995504,high,false,claude-sonnet-4-6,reviewed,negative,"terör örgütü operasyonu, 110 gözaltı",i̇stanbul merkezli 3 ilde deaş operasyonu: 110 gözaltı,i̇stanbul merkezli 3 ilde deaş operasyonu: 110 gözaltı,,https://www.cnnturk.com/yerel-haberler/istanbul/istanbul-merkezli-3-ilde-deas-operasyonu-110-gozalti-2427236
113914,2026-05-19,CNN Türk,unknown,negative,0.99702,high,false,claude-sonnet-4-6,reviewed,negative,silahlı saldırı haberi ve yayın yasağı,rtük’ten mersin'de yaşanan olaya ilişkin yayın yasağı,"radyo ve televizyon üst kurulu (rtük), mersin'in tarsus ilçesinde yaşanan silahlı saldırıyla ilgili yayın yasağı getirildiğini açıkladı.",,https://www.cnnturk.com/turkiye/rtukten-mersinde-yasanan-olaya-iliskin-yayin-yasagi-3423549
113951,2026-05-19,CNN Türk,unknown,negative,0.997768,high,false,claude-sonnet-4-6,reviewed,negative,casusluk krizi ve gerilim odaklı haber,pekin'de casusluk krizi! nyp: abd heyeti çin'in tüm hediyelerini çöpe attı,"new york post gazetesi'nde yayınlanan habere göre, casusluk korkusu o kadar ileri gitti ki, abd heyetine çin’de verilen tüm hediyeler, kalemler ve hatta rozetler ""dinleme cihazı"" riskiyle havalimanındaki çöp kutularına atıldı. trump ise ziyareti ""harika"" olarak niteledi ancak tayvan konusunda çin’e yönelik ""savaş istemiyoruz"" çıkışıyla dikkat çekti.",,https://www.cnnturk.com/video/dunya/pekinde-casusluk-krizi-nyp-abd-heyeti-cinin-tum-hediyelerini-cope-atti-3423334
114135,2026-05-19,CNN Türk,unknown,negative,0.535657,low,false,claude-sonnet-4-6,reviewed,neutral,"deyim açıklaması, olgusal bilgi aktarımı",göze batmak deyiminin anlamı nedir? kısaca açıklaması ve örnek cümle…,"göz kelimesinin içinde geçtiği birçok deyim hem günlük hayatta hem de edebi eserlerde sıklıkla kullanılır. o deyimlerden biri olan göze batmak deyiminin ilk anlamı kılık kıyafetiyle ve görümüyle insanları rahatsız etmektir. bu deyim, öfkeye, infiale ve kıskançlığa yol açmak manasında da kullanılır.",,https://www.cnnturk.com/kultur-sanat/goze-batmak-deyiminin-anlami-nedir-kisaca-aciklamasi-ve-ornek-cumle-2120603
114047,2026-05-19,CNN Türk,unknown,negative,0.63731,mid,false,claude-sonnet-4-6,reviewed,neutral,tıbbi prosedür hakkında bilgi aktarımı,"ekg nedir, neden çekilir? elektrokardiyografi nasıl yapılır?","kalp ve damar hastalıklarının tanısı için kullanılan ekg elektriksel aktivitenin ölçülmesi amacıyla kullanılmaktadır. ekg cihazının diğer adı ise elektrokardiyografi olarak bilinmektedir. peki, ekg nedir, neden çekilir?",,https://www.cnnturk.com/saglik/ekg-nedir-neden-cekilir-elektrokardiyografi-nasil-yapilir-1684373
114123,2026-05-19,CNN Türk,unknown,negative,0.70323,mid,false,claude-sonnet-4-6,reviewed,neutral,vatandaşlık şartları hakkında olgusal bilgi,katar vatandaşı nasıl olunur? katar vatandaşı olmak i̇çin gerekenler nelerdir? katar vatandaşı olma şartları nelerdir?,"günümüzde pek çok yabancı, her yıl oturma izinlerini yenileyerek onlarca yıl yaşayarak katar nüfusunun büyük bir bölümünü oluşturuyor. aynı zamanda son derece sınırlıdır. 2018 yılında carter, ülkede içinde en az 20 yıldan beridir, yaşayan ve çalışan iki yabancı uyruklu kişinin, daimi ikamet etmesine izin veren yeni bir yasa çıkarmıştır. fakat daimi ikametgah sahibi olmak, vatandaş olmaktan çok daha kolaydır.",,https://www.cnnturk.com/yasam/katar-vatandasi-nasil-olunur-katar-vatandasi-olmak-icin-gerekenler-nelerdir-katar-vatandasi-olma-sartlari-nelerdir-2035265
114068,2026-05-19,CNN Türk,unknown,neutral,0.912201,high,false,claude-sonnet-4-6,reviewed,negative,4000 kişilik işten çıkarma dalgası,cisco yatırımlarını yapay zeka tarafına kaydırıyor,strateji değişikliği kapsamında kurum içinde 4000 kişilik bir işten çıkarma dalgası yolda.,,https://www.cnnturk.com/teknoloji/cisco-yatirimlarini-yapay-zeka-tarafina-kaydiriyor-3423418
114095,2026-05-19,CNN Türk,unknown,neutral,0.951502,high,false,claude-sonnet-4-6,reviewed,negative,"türü tehdit altında, doğal yaşam alanı yok ediliyor",pallas kedisi özellikleri nelerdir? pallas kedisi bakımı nasıl yapılır?,"pallas kedisi, yabani kedi türleri arasında yer alır. bu kedilerin çok kabarık tüyleri bulunur. aynı zamanda uzun kürklerinden görünmeyecek kadar kısa boyda olan kulakları bulunur. pallas kedisi, manul adı ile de bilinir. pallas kedisi, türü tehdit altında bulunan canlılar kategorisinde yer alır. bu canlıların soyunun tehlikede olmasının en önemli nedeni ise doğal yaşam alanlarının yok edilmesidir.",,https://www.cnnturk.com/yasam/pallas-kedisi-ozellikleri-nelerdir-pallas-kedisi-bakimi-nasil-yapilir-2125027
114114,2026-05-19,CNN Türk,unknown,neutral,0.986228,high,false,claude-sonnet-4-6,reviewed,neutral,deneme yazarlığı hakkında olgusal bilgi aktarımı,"deneme nasıl yazılır, nelere dikkat edilmelidir? deneme yazma kuralları nelerdir?","deneme yazıları aynı zamanda özgün yazılar olarak ifade edilmektedir. özellikle geçmişten günümüze kadar ulaşmış bu konuda çok önemli yazarların denemeleri bulunur. hatta önemli edebi eserler haline gelmiş güçlü deneme yazıları yer almaktadır. hatta bu yazılar profesyonel yazarlığının yanı sıra, amatör şekilde de ele alınabilmekte ve yazılabilmektedir.",,https://www.cnnturk.com/yasam/deneme-nasil-yazilir-nelere-dikkat-edilmelidir-deneme-yazma-kurallari-nelerdir-1676861
