id,source_name,title,summary,human_label,note
161063,TRT Haber,"emine erdoğan, 25 mayıs afrika günü'nü kutladı","cumhurbaşkanı recep tayyip erdoğan'ın eşi emine erdoğan, 25 mayıs afrika günü'nü kutladı.",,
214186,Habertürk,i̇stanbul surları tarihin hafıza kartı,,,
134327,CNN Türk,efes-2026: yunanistan ve i̇srail'de endişe veren tatbikat! ''türkiye geri adım atmıyor'',"türk savunma sanayisinin yerli ve milli unsurlarının sergilendiği efes-2026 tatbikatı, i̇srail ve yunanistan’da geniş yankı buldu. ankara’nın verdiği mesajın açık olduğuna vurgu yapılırken, türkiye’nin kararlılıkla ilerlediğinin altı çizildi.",,
154424,TRT Haber,i̇ran basını: mutabakat zaptında petrol yaptırımlarının müzakere süresince askıya alınmasına dair madde olabilir,"i̇ran'ın petrol sektörüne yönelik yaptırımların, müzakere süreci boyunca geçici olarak askıya alınabileceği ve bu düzenlemenin olası bir mutabakat zaptında yer alabileceği belirtildi.",,
230879,Sözcü,"2 bölge arasındaki mesafe 50 dakikaya düştü: robotlar yaptı, insan eli değmedi",,,
162134,Yeni Şafak,samsun'da bayram yoğunluğunu azaltmaya yönelik adım: vatandaşlar ücretsiz olarak kullanabilecek,"havza kaymakamlığından yapılan açıklamada, 9 günlük kurban bayramı tatilinde ilçe merkezindeki trafik ve otopark yoğunluğunu azaltmak amacıyla, merkezdeki 3 okulun bahçesini bayram tatili sonuna kadar vatandaşların kullanımına ücretsiz açıldığı aktarıldı.",,
152440,Hürriyet,"manchester city-aston villa ile, crystal palace-arsenal ile karşılaşacak! maçların heyecanı canlı sohbet misli'de","i̇ngiltere premier lig'in 38. ve son haftasında manchester city sahasında aston villa karşılaşacak, arsenal ise crystal palace'a konuk olacak. karşılaşmaların heyecanı canlı bahis ve canlı sohbet ile misli'de yaşanacak.",,
135457,Milliyet,i̇şte sarp marco'nun son hali! bestemsu özdemir ve oğlundan yeni kare,"kanal d'nin sevilen yapımlarından 'i̇nci taneleri' dizisinde semiramis karakterini canlandıran oyuncu bestemsu özdemir şu sıralar anne olmanın sevincini yaşıyor. ünlü isim, oğlu sarp marco'nun son halini takipçileriyle paylaştı.",,
145693,Hürriyet,almanya kupası'nda da şampiyon bayern münih! harry kane'den hat-trick,"almanya kupası finalinde stuttgart'ı kane'in golleriyle 3-0 mağlup eden bayern münih, bu turnuvada 21. kez mutlu sona ulaştı.",,
158973,Hürriyet,kılıçdaroğlu'nun bazı yakın kurmayları chp genel merkezi'nde,"mahkemece chp genel başkanlığı görevine iade edilen kemal kılıçdaroğlu'nun bazı kurmayları, chp genel merkezinde incelemelerde bulundu.",,
162094,Yeni Şafak,malatya'da 4 büyüklüğünde deprem,"malatya'nın pütürge ilçesinde saat 22.36'da 4 büyüklüğünde deprem meydana geldi. çevre illerde de hissedilen depreme ilişkin açıklamada bulunan afad, sarsıntının yerin 12.76 kilometre derinliğinde meydana geldiğini bildirdi.",,
190939,Cumhuriyet,hazine arazilerini evsiz kent yoksullarına yüksek bedelle satan mafyanın 70’lerde hızı kesildi,özellikle de seçim dönemlerinde hükümet ve belediyeler gecekondu aflarının yanında başka adımlar da atmaya başladı.,,
129374,CNN Türk,son dakika... kadir i̇nanır entübe edildi! usta oyuncunun yeğeni levent i̇nanır son sağlık durumunu açıkladı,son dakika haberine göre; geçtiğimiz hafta rahatsızlanarak hastaneye kaldırılan ve zatürre teşhisi ile yoğun bakıma alınan usta oyuncu kadir i̇nanır entübe edildi.,,
160683,Milliyet,tek bir lekeden bile eser kalmayacak! adım adım koltuk temizliği,kurban bayramı yaklaşırken evlerde hummalı bir temizlik telaşı başladı. bu hazırlık sürecinde en zahmetli ve uğraştırıcı işlerin başında ise koltuklardaki lekeleri temizlemek geliyor. koltuklar hem hassas yapıları hem de zor temizlenmeleri nedeniyle özel bir bakım istiyor. bayram öncesi koltuklarını ilk günkü gibi tertemiz yapmak ve bu lekelerden kolayca kurtulmak isteyenler için uygulayabileceğiniz pratik temizlik adımlarını bir araya getirdik.,,
147670,TRT Haber,gayrimenkul yatırım ortaklıklarında kar dağıtım şartları belirlendi,gayrimenkul yatırım ortaklıklarının taşınmazlardan elde ettikleri kazançlara yönelik kar dağıtım şartları düzenlendi.,,
160975,Sabah,aksaray'da alacak verecek dehşeti: ağabey bıçaklandı kardeşi darbedildi! polis saldırganın peşinde,"aksaray’da bir parkta borç alacak meselesi yüzünden çıkan tartışma kanlı bitti. mehmet d., tartıştığı iki kardeşten mustafa g.’yi bacağından bıçakla yaralarken, mehmet g.’yi ise darbederek kaçtı. yaralı... devamı için tıklayınız",,
160935,Sabah,kurban kesildikten sonra kılınan namaz: kurban (şükür) namazı nasıl kılınır ve kaç rekattır?,"i̇slam alemi için yılın ikinci dini bayramı kurban bayramı 27 mayıs çarşamba günü idrak edilecek. müslümanlar sabah namazının ardından kurban kesme ibadetlerini yerine getirecek. bu noktada, ‘kurban kesildikten... devamı için tıklayınız",,
